timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610650432146,13266,deleting user,404,,Load Test 1-303,text,false,,376,208,498,498,http://localhost:9092/user/delete/,13266,0,0
1610650418278,27186,UpdateUser,202,,Load Test 1-145,text,true,,389,242,498,498,http://localhost:9092/user/update/1,27186,0,0
1610650418308,27244,deleting user,204,,Load Test 1-393,,true,,191,211,498,498,http://localhost:9092/user/delete/546,0,0,0
1610650432207,13346,deleting user,404,,Load Test 1-297,text,false,,376,208,497,497,http://localhost:9092/user/delete/,13346,0,0
1610650432237,13318,deleting user,404,,Load Test 1-299,text,false,,376,208,497,497,http://localhost:9092/user/delete/,13318,0,0
1610650432299,13257,deleting user,404,,Load Test 1-298,text,false,,376,208,497,497,http://localhost:9092/user/delete/,13257,0,0
1610650432299,13259,deleting user,404,,Load Test 1-300,text,false,,376,208,497,497,http://localhost:9092/user/delete/,13259,0,0
1610650432345,13214,deleting user,404,,Load Test 1-296,text,false,,376,208,497,497,http://localhost:9092/user/delete/,13214,0,0
1610650418337,27235,UpdateUser,202,,Load Test 1-144,text,true,,389,242,497,497,http://localhost:9092/user/update/1,27235,0,0
1610650418385,27290,UpdateUser,202,,Load Test 1-70,text,true,,389,242,497,497,http://localhost:9092/user/update/1,27290,0,0
1610650432423,13254,deleting user,404,,Load Test 1-295,text,false,,376,208,497,497,http://localhost:9092/user/delete/,13254,0,0
1610650418368,27332,deleting user,204,,Load Test 1-392,,true,,191,211,497,497,http://localhost:9092/user/delete/547,0,0,0
1610650432469,13232,deleting user,404,,Load Test 1-294,text,false,,376,208,496,496,http://localhost:9092/user/delete/,13232,0,0
1610650418414,27367,UpdateUser,202,,Load Test 1-142,text,true,,389,242,496,496,http://localhost:9092/user/update/1,27367,0,0
1610650432546,13237,deleting user,404,,Load Test 1-292,text,false,,376,208,496,496,http://localhost:9092/user/delete/,13237,0,0
1610650432577,13208,deleting user,404,,Load Test 1-293,text,false,,376,208,496,496,http://localhost:9092/user/delete/,13208,0,0
1610650432592,13194,deleting user,404,,Load Test 1-291,text,false,,376,208,496,496,http://localhost:9092/user/delete/,13194,0,0
1610650432654,13134,deleting user,404,,Load Test 1-290,text,false,,376,208,496,496,http://localhost:9092/user/delete/,13134,0,0
1610650432686,13103,deleting user,404,,Load Test 1-289,text,false,,376,208,496,496,http://localhost:9092/user/delete/,13103,0,0
1610650432700,13090,deleting user,404,,Load Test 1-288,text,false,,376,208,496,496,http://localhost:9092/user/delete/,13090,0,0
1610650418428,27417,deleting user,204,,Load Test 1-391,,true,,191,211,496,496,http://localhost:9092/user/delete/548,0,0,0
1610650432746,13101,deleting user,404,,Load Test 1-287,text,false,,376,208,495,495,http://localhost:9092/user/delete/,13101,0,0
1610650432807,13042,deleting user,404,,Load Test 1-285,text,false,,376,208,495,495,http://localhost:9092/user/delete/,13042,0,0
1610650432838,13013,deleting user,404,,Load Test 1-286,text,false,,376,208,495,495,http://localhost:9092/user/delete/,13013,0,0
